Wavelength (m) ,E_ph (J),a0v,a5v,f5v,g0v,g5v,k0v,k5v,m0v,m5v
3.210E-07,6.188E-19,3.359E-02,2.878E-02,2.440E-02,2.199E-02,1.644E-02,5.998E-03,4.081E-03,2.104E-03,3.332E-03
3.220E-07,6.169E-19,3.357E-02,2.846E-02,2.401E-02,2.190E-02,1.593E-02,5.705E-03,3.881E-03,2.002E-03,3.169E-03
3.230E-07,6.150E-19,3.292E-02,2.829E-02,2.401E-02,2.209E-02,1.768E-02,6.524E-03,4.438E-03,2.289E-03,3.624E-03
3.240E-07,6.131E-19,3.293E-02,2.811E-02,2.401E-02,2.227E-02,1.943E-02,7.343E-03,4.995E-03,2.576E-03,4.079E-03
3.250E-07,6.112E-19,3.321E-02,2.920E-02,2.552E-02,2.405E-02,1.974E-02,8.227E-03,5.373E-03,2.505E-03,3.966E-03
3.260E-07,6.093E-19,3.343E-02,3.030E-02,2.703E-02,2.583E-02,2.004E-02,9.110E-03,5.750E-03,2.433E-03,3.853E-03
3.270E-07,6.075E-19,3.340E-02,3.106E-02,2.850E-02,2.348E-02,2.175E-02,1.026E-02,5.993E-03,2.350E-03,1.592E-02
3.280E-07,6.056E-19,3.302E-02,2.702E-02,2.423E-02,2.491E-02,1.936E-02,9.099E-03,5.770E-03,2.692E-03,5.658E-03
3.290E-07,6.038E-19,3.331E-02,3.024E-02,2.845E-02,2.617E-02,2.050E-02,9.703E-03,6.449E-03,2.950E-03,6.193E-03
3.300E-07,6.020E-19,3.350E-02,3.170E-02,2.829E-02,2.546E-02,2.177E-02,1.124E-02,7.274E-03,2.711E-03,2.287E-03
3.310E-07,6.001E-19,3.320E-02,3.022E-02,2.795E-02,2.523E-02,2.096E-02,1.016E-02,6.284E-03,2.349E-03,2.784E-03
3.320E-07,5.983E-19,3.309E-02,2.969E-02,2.838E-02,2.513E-02,2.084E-02,9.499E-03,6.540E-03,3.217E-03,8.844E-03
3.330E-07,5.965E-19,3.273E-02,2.940E-02,2.798E-02,2.473E-02,2.003E-02,9.793E-03,6.439E-03,2.992E-03,3.426E-03
3.340E-07,5.947E-19,3.220E-02,3.022E-02,2.702E-02,2.477E-02,1.973E-02,9.310E-03,6.684E-03,3.445E-03,1.767E-03
3.350E-07,5.930E-19,3.202E-02,2.899E-02,2.911E-02,2.398E-02,2.079E-02,9.824E-03,7.296E-03,3.330E-03,1.131E-02
